,Kholodenko2000_variant1.cps,Kholodenko2000_variant1.cps,Kholodenko2000_variant1.cps,Kholodenko2000_variant2.cps,Kholodenko2000_variant2.cps,Kholodenko2000_variant2.cps,Kholodenko2000_variant3.cps,Kholodenko2000_variant3.cps,Kholodenko2000_variant3.cps
,RSS,AICc,BIC,RSS,AICc,BIC,RSS,AICc,BIC
RSS Rank,,,,,,,,,
0,6.47936e-10,-5737.09588708,-5667.6369957,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
1,1.05102e-09,-5631.64395172,-5562.18506034,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
2,1.13679e-09,-5614.54242289,-5545.08353151,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
3,1.32472e-09,-5581.19003278,-5511.7311414,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
4,1.40856e-09,-5567.81207265,-5498.35318127,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
5,1.4178e-09,-5566.38668651,-5496.92779513,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
6,1.42454e-09,-5565.35280404,-5495.89391266,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
7,1.43228e-09,-5564.17154367,-5494.71265229,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
8,1.46575e-09,-5559.13585775,-5489.67696637,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
9,1.47976e-09,-5557.06205523,-5487.60316384,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
10,1.50745e-09,-5553.02042916,-5483.56153778,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
11,1.51356e-09,-5552.13861691,-5482.67972553,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
12,1.55359e-09,-5546.44796889,-5476.98907751,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
13,1.56314e-09,-5545.11201325,-5475.65312187,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
14,1.65816e-09,-5532.2474114,-5462.78852002,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
15,1.78474e-09,-5516.21041744,-5446.75152605,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
16,1.80712e-09,-5513.49377306,-5444.03488168,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
17,1.92041e-09,-5500.23843847,-5430.77954709,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
18,1.95121e-09,-5496.76984308,-5427.3109517,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
19,2.05501e-09,-5485.47068046,-5416.01178908,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
20,2.08966e-09,-5481.82557676,-5412.36668538,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
21,2.10047e-09,-5480.70074997,-5411.24185859,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
22,2.12211e-09,-5478.46630501,-5409.00741363,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
23,2.13327e-09,-5477.32286514,-5407.86397376,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
24,2.15791e-09,-5474.81932111,-5405.36042973,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
25,2.18425e-09,-5472.17446674,-5402.71557536,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
26,2.19171e-09,-5471.43118683,-5401.97229545,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
27,2.19743e-09,-5470.86298408,-5401.4040927,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
28,2.26388e-09,-5464.36840226,-5394.90951088,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
29,2.3087e-09,-5460.09463431,-5390.63574293,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
30,2.31545e-09,-5459.45819257,-5389.99930119,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
31,2.371e-09,-5454.2899022,-5384.83101082,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
32,2.37391e-09,-5454.02250826,-5384.56361688,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
33,2.38297e-09,-5453.19209741,-5383.73320603,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
34,2.41762e-09,-5450.04505458,-5380.58616319,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
35,2.49138e-09,-5443.49345945,-5374.03456807,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
36,2.49221e-09,-5443.42084513,-5373.96195375,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
37,2.52517e-09,-5440.55664773,-5371.09775635,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
38,2.54382e-09,-5438.9524945,-5369.49360312,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
39,2.55276e-09,-5438.1876985,-5368.72880712,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
40,2.61137e-09,-5433.23912879,-5363.78023741,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
41,2.62487e-09,-5432.11503726,-5362.65614588,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
42,2.63553e-09,-5431.23149868,-5361.7726073,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
43,2.6404e-09,-5430.8290444,-5361.37015302,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
44,2.64129e-09,-5430.75557549,-5361.29668411,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
45,2.65125e-09,-5429.93506868,-5360.4761773,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
46,2.72734e-09,-5423.76663914,-5354.30774776,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
47,2.74441e-09,-5422.40646294,-5352.94757156,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
48,2.76433e-09,-5420.82984871,-5351.37095733,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
49,2.81697e-09,-5416.71759519,-5347.25870381,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
50,2.8363e-09,-5415.22679202,-5345.76790064,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
51,2.85506e-09,-5413.78963296,-5344.33074158,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
52,2.87756e-09,-5412.07836475,-5342.61947336,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
53,2.8805e-09,-5411.85574808,-5342.3968567,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
54,2.91335e-09,-5409.38368659,-5339.92479521,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
55,2.92703e-09,-5408.3624361,-5338.90354472,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
56,2.95753e-09,-5406.10260375,-5336.64371237,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
57,2.9592e-09,-5405.97954253,-5336.52065115,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
58,2.9656e-09,-5405.50857286,-5336.04968148,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
59,2.97301e-09,-5404.96454628,-5335.5056549,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
60,2.98116e-09,-5404.36775408,-5334.9088627,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
61,3.01355e-09,-5402.01198084,-5332.55308946,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
62,3.03039e-09,-5400.79716749,-5331.33827611,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
63,3.0739e-09,-5397.68940536,-5328.23051398,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
64,3.12805e-09,-5393.88253817,-5324.42364679,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
65,3.13738e-09,-5393.23327978,-5323.7743884,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
66,3.1484e-09,-5392.46889971,-5323.01000833,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
67,3.16138e-09,-5391.57199238,-5322.11310099,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
68,3.22968e-09,-5386.91236882,-5317.45347744,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
69,3.29835e-09,-5382.32580527,-5312.86691389,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
70,3.33351e-09,-5380.01425111,-5310.55535972,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
71,3.4095e-09,-5375.10056379,-5305.64167241,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
72,3.44289e-09,-5372.97602692,-5303.51713554,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
73,3.50577e-09,-5369.03045635,-5299.57156497,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
74,3.52772e-09,-5367.6697903,-5298.21089892,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
75,3.57871e-09,-5364.54135288,-5295.0824615,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
76,3.71362e-09,-5356.47431916,-5287.01542778,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
77,3.7605e-09,-5353.73955599,-5284.28066461,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
78,3.79201e-09,-5351.92049985,-5282.46160847,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
79,3.86851e-09,-5347.56634259,-5278.1074512,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
80,3.8903e-09,-5346.34186809,-5276.88297671,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
81,4.00259e-09,-5340.1385961,-5270.67970472,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
82,4.00828e-09,-5339.82891183,-5270.37002045,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
83,4.08718e-09,-5335.57943258,-5266.1205412,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
84,4.12843e-09,-5333.39028885,-5263.93139747,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
85,4.1331e-09,-5333.14383084,-5263.68493946,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
86,4.15448e-09,-5332.01905127,-5262.56015989,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
87,4.18241e-09,-5330.55837162,-5261.09948024,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
88,4.20243e-09,-5329.51735753,-5260.05846615,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
89,4.209e-09,-5329.17680657,-5259.71791519,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
90,4.34637e-09,-5322.1755351,-5252.71664372,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
91,4.41723e-09,-5318.65008513,-5249.19119375,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
92,4.52326e-09,-5313.47908807,-5244.02019669,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
93,4.5247e-09,-5313.40969784,-5243.95080646,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
94,4.57843e-09,-5310.83623662,-5241.37734524,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
95,4.63157e-09,-5308.32056918,-5238.8616778,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
96,4.74129e-09,-5303.21645952,-5233.75756813,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
97,4.80351e-09,-5300.37425179,-5230.91536041,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
98,4.838e-09,-5298.81456829,-5229.3556769,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
99,4.96646e-09,-5293.10168198,-5223.6427906,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
100,4.98244e-09,-5292.40137481,-5222.94248343,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
101,5.02166e-09,-5290.69207486,-5221.23318348,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
102,5.25243e-09,-5280.89727593,-5211.43838455,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
103,5.26347e-09,-5280.43954604,-5210.98065466,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
104,5.36622e-09,-5276.22489863,-5206.76600725,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
105,5.42647e-09,-5273.7909111,-5204.33201972,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
106,5.47762e-09,-5271.74566353,-5202.28677215,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
107,5.48588e-09,-5271.41717713,-5201.95828575,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
108,5.54497e-09,-5269.08159225,-5199.62270087,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
109,5.68541e-09,-5263.6289689,-5194.17007752,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
110,5.79418e-09,-5259.49771167,-5190.03882029,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
111,5.79711e-09,-5259.38750133,-5189.92860994,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
112,5.89945e-09,-5255.57258662,-5186.11369524,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
113,5.97184e-09,-5252.91386704,-5183.45497566,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
114,6.01173e-09,-5251.46253791,-5182.00364653,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
115,6.04593e-09,-5250.22587673,-5180.76698535,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
116,6.04968e-09,-5250.09070372,-5180.63181234,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
117,6.08277e-09,-5248.90155596,-5179.44266458,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
118,6.12611e-09,-5247.35380388,-5177.8949125,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
119,6.18183e-09,-5245.37994912,-5175.92105774,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
120,6.23495e-09,-5243.51469409,-5174.05580271,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
121,6.24275e-09,-5243.24214383,-5173.78325245,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
122,6.27436e-09,-5242.14109181,-5172.68220042,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
123,6.29311e-09,-5241.4906024,-5172.03171102,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
124,6.45554e-09,-5235.93524458,-5166.4763532,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
125,6.46956e-09,-5235.46231034,-5166.00341896,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
126,6.53216e-09,-5233.36306417,-5163.90417279,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
127,6.60634e-09,-5230.90138105,-5161.44248967,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
128,6.64415e-09,-5229.65726066,-5160.19836928,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
129,6.64566e-09,-5229.60772196,-5160.14883057,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
130,6.78994e-09,-5224.92549725,-5155.46660587,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
131,7.15157e-09,-5213.6135191,-5144.15462772,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
132,7.39348e-09,-5206.36139644,-5136.90250506,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
133,7.83729e-09,-5193.65317787,-5124.19428649,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
134,7.96905e-09,-5190.0186432,-5120.55975182,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
135,8.07711e-09,-5187.08243465,-5117.62354327,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
136,8.6203e-09,-5172.89374081,-5103.43484943,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
137,8.77088e-09,-5169.11857888,-5099.65968749,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
138,9.02714e-09,-5162.84051638,-5093.381625,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
139,1.09421e-08,-5120.90120998,-5051.4423186,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
140,1.15413e-08,-5109.27872055,-5039.81982917,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
141,1.19553e-08,-5101.5957927,-5032.13690132,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
142,1.40962e-08,-5065.68453,-4996.22563862,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
143,1.47234e-08,-5056.194378,-4986.73548661,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
144,1.47827e-08,-5055.31812411,-4985.85923273,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
145,1.49073e-08,-5053.4883525,-4984.02946112,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
146,2.16387e-08,-4972.25449969,-4902.79560831,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
147,7.81659e-08,-4692.26617509,-4622.80728371,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
148,9.35087e-08,-4653.19599948,-4583.7371081,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
149,1.70124e-07,-4522.72886307,-4453.26997168,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
